title,provider,date,frequency,type,target,major,fee,location,available_region,job_category_id,job_category_name
도자기 물레체험패키지,파도소리공방,2025-08-28 ~ 2030-08-30,화수목금토,현장직업체험형,초 중 고,도예,"40,000원",체험처,전국,11,예술·디자인·방송직
요리 | 양식(스테이크) 진로체험,나눔진로교육센터,2025-01-01 ~ 2035-12-31,월화수목금토,직업실무체험형,초 중 고,양식 조리사,"15,000원",학교,전국,15,기타 서비스직
요리 | 제과제빵(쿠키) 진로체험,나눔진로교육센터,2025-01-01 ~ 2035-12-31,월화수목금토,직업실무체험형,초 중 고,제과·제빵원,"15,000원",학교,전국,15,기타 서비스직
사물인터넷 전문가,꿈작교,2025-07-01 ~ 2025-12-31,월화수목금,대화형,중,기타 인쇄·목재 등 공학 기술자 및 시험원,"10,000원",학교,전국,4,제조 연구개발직 및 공학기술직
인공지능전문가,꿈작교,2025-07-01 ~ 2025-12-31,월화수목금,대화형,중,시스템 소프트웨어 개발자,"10,000원",학교,전국,15,기타 서비스직
기후환경과 ESG,꿈작교,2025-07-01 ~ 2025-12-31,월화수목금,대화형,중,자연과학 연구원,"10,000원",학교,전국,15,기타 서비스직
자율주행자동차,꿈작교,2025-07-01 ~ 2025-12-31,월화수목금,대화형,중,기타 데이터 및 네트워크 전문가,"10,000원",학교,전국,2,정보통신 연구개발직 및 공학기술직
미래사회와 챗GPT,꿈작교,2025-07-01 ~ 2025-12-31,월화수목금,대화형,중,기타 데이터 및 네트워크 전문가,"10,000원",학교,전국,2,정보통신 연구개발직 및 공학기술직
운동선수(유도선수),한양유도호신술교육원,2035-07-31,,현장직업체험형,초 중 고,직업 운동선수,"15,000원",체험처,전국,15,기타 서비스직
플로리스트 진로체험,제니플라워스튜디오,2025-08-01 ~ 2025-11-28,월화수목금,현장직업체험형,초,기타,"13,000원",체험처,전국,15,기타 서비스직
북퍼퓸 향수 만들기_책에서 느낀 감정을 향으로 표현해 보는 조향클래스 (다양한 향기제품 선택 가능),스테이센트,2025-07-08 ~ 2044-12-31,월화수목금토,현장직업체험형,초 중 고,기타,"28,000원",학교,전국,15,기타 서비스직
[체험형] 찾진&멘토링 [유리공예가-디자인 유리컵],샤이넌글라스,2025-01-01 ~ 2035-07-31,월화수목금,직업실무체험형,초,예술·디자인·방송·스포츠직,"20,000원",체험처,전국,15,기타 서비스직
승화전사 기법을 이용한 나만의 머그컵 만들기,커스텀메모리,2025-07-10 ~ 2026-07-09,월수목금토일,직업실무체험형,중 고,제품/제품정보디자인,"15,000원",학교,전국,15,기타 서비스직
너도? 나도! 국립공원레인저,국립공원공단오대산국립공원사무소,2024-07-01 ~ 2027-06-30,화수목금토일,현장직업체험형,초,기타,무료,체험처,전국,15,기타 서비스직
START UP HERO 기업가 정신,꿈작교,2025-07-01 ~ 2025-12-31,월화수목금,대화형,중,기업 고위임원,"10,000원",체험처,전국,0,인문·사회과학 연구직
관계형성 프로그램,꿈작교,2025-07-01 ~ 2025-12-31,월화수목금,대화형,중,기타,"10,000원",학교,전국,15,기타 서비스직
'공간인간' 유현준 교수와 함께 하는 진로콘서트,서구진로교육지원센터,2025-09-13,,강연형,중 고,건축가,무료,체험처,전국,3,건설·채굴 연구개발직 및 공학기술직
딸기를 활용한 식생활 요리체험,보성싱싱농원,2025-09-09 ~ 2026-12-31,월화수목금,현장견학형,초 중 고,작물재배 종사자,"30,000원",학교,전국,15,기타 서비스직
[대면]한의사 체험학습 “꿈을 그리는 한의사란?”,숨쉬는한의원 수원점,2025-09-08 ~ 2026-07-31,목,현장직업체험형,초 중,한의사,무료,체험처,전국,15,기타 서비스직
AI로 만드는 나만의 미디어,K-메디치연구소,2025-09-01 ~ 2026-09-01,월화수목금,직업실무체험형,초 중 고,공연·영화 및 음반 기획자,"28,000원",체험처,전국,11,예술·디자인·방송직
레진아트(토탈공예),다인공방,2025-09-10 ~ 2027-12-31,월화수목금토,직업실무체험형,초 중 고,기타,"25,000원",체험처,전국,15,기타 서비스직
"[강릉 국가유산교육 활성화 사업] 우리 유산, 우리 미래 - 강릉대도호부관아(문화유산현장교육형)",강릉문화원,2025-09-08 ~ 2025-11-28,월화수목금,현장견학형,초 중,기타,무료,체험처,전국,15,기타 서비스직
"[강릉 국가유산교육 활성화 사업] 우리 유산, 우리 미래 - 강릉대도호부관아(학교방문형)",강릉문화원,2025-09-08 ~ 2025-11-28,월화수목금,대화형,초 중,기타,무료,학교,전국,15,기타 서비스직
자개아트체험,다인공방,2025-09-08 ~ 2027-12-31,월화수목금토,직업실무체험형,초 중,공예,"25,000원",체험처,전국,11,예술·디자인·방송직
꽃송편 만들기,심재경향토치유음식연구소,2025-09-03 ~ 2026-12-31,월화수목금토일,현장직업체험형,초 중 고,주방장 및 요리 연구가,"25,000원",체험처,전국,15,기타 서비스직
꿈터 가죽공예&캘리그래피&라탄공예&토탈공예,미소가 있는 공방(제천 지점),2025-09-01 ~ 2026-12-31,월화수목금,직업실무체험형,초 중 고,공예원,"20,000원",체험처,전국,11,예술·디자인·방송직
퓨전약과 만들기,심재경향토치유음식연구소,2025-09-03 ~ 2026-12-31,월화수목금토일,현장직업체험형,초 중 고,주방장 및 요리 연구가,"30,000원",체험처,전국,15,기타 서비스직
친환경 에너지 창작소 - 에코 롱롱 큐브_서울,(재)꽃과어린왕자(에코 롱롱 큐브),2025-09-08 ~ 2025-12-18,월화수목금,현장직업체험형,초 중,에너지·환경공학 기술자 및 시험원,무료,체험처,전국,15,기타 서비스직
<진로체험>조향사: 북스토리 퍼퓸 만들기,강릉핸드메이드공예학원,2025-03-01 ~ 2026-12-31,월화수목금토일,현장직업체험형,초 중 고,자연과학 연구원,"30,000원",체험처,전국,15,기타 서비스직
[가게방문/직업실무체험] 네일아티스트,두두네일,2025-09-07 ~ 2026-12-31,월화수목금,직업실무체험형,초 중 고,기타 미용 서비스원,"20,000원",체험처,전국,15,기타 서비스직
[학교방문/현장직업체험] 네일아티스트,두두네일,2025-09-07 ~ 2026-12-31,월화수목금,현장직업체험형,초 중 고,기타 미용 서비스원,"20,000원",학교,전국,15,기타 서비스직
AI인공지능 큐브,다함에듀,2025-09-08 ~ 2025-12-31,월화수목금,현장직업체험형,초 중 고,인공지능시스템및응용,"10,000원",학교,전국,15,기타 서비스직
<진로체험> 맞춤형화장품: 커피박 업사이클링 커피 스크럽 만들기,강릉핸드메이드공예학원,2025-09-01 ~ 2026-12-31,월화수목금토일,현장직업체험형,초 중 고,기타 보건·의료종사원,"25,000원",체험처,전국,10,보건·의료직
"[전쟁기념관 진로체험] 6·25전쟁, 현장을 가다!",전쟁기념관,2025-03-11 ~ 2025-12-11,화수목금토,현장견학형,중,예술·디자인·방송·스포츠직,무료,체험처,전국,15,기타 서비스직
컬러테라피스트,컬러시간,2025-09-22 ~ 2027-12-31,월화수목금,현장직업체험형,중 고,상담 전문가,"10,000원",체험처,전국,15,기타 서비스직
[전쟁기념관 진로체험] 무관의 길,전쟁기념관,2025-03-11 ~ 2025-12-11,화수목금토,현장견학형,중,군인,무료,체험처,전국,9,군인
<진로체험> 요리사 : 과일청 만들기,강릉핸드메이드공예학원,2025-09-01 ~ 2025-12-31,월화수목금토일,현장직업체험형,초 중 고,음료 조리사,"30,000원",학교,전국,15,기타 서비스직
(진로체험) 조향사 : mbti 조향 향수 만들기,강릉핸드메이드공예학원,2025-09-01 ~ 2026-12-31,월화수목금토일,현장직업체험형,초 중 고,자연과학 연구원,"30,000원",체험처,전국,15,기타 서비스직
<진로체험>천연아로마캔들공예강사 : 천연캔들 만들기,강릉핸드메이드공예학원,2025-09-01 ~ 2026-12-31,월화수목금토일,현장직업체험형,초 중 고,화학공학 기술자 및 시험원,"25,000원",체험처,전국,15,기타 서비스직
<진로체험> 맞춤형화장품 조제관리사란 직업의 이해와 맞춤형화장품 만들기,강릉핸드메이드공예학원,2025-09-01 ~ 2026-12-31,월화수목금토일,현장직업체험형,초 중 고,화학공학 기술자 및 시험원,"25,000원",학교,전국,15,기타 서비스직
"[조선일보 뉴지엄] 신문기자, 방송기자 체험",조선일보 뉴지엄,2025-09-01 ~ 2028-12-31,화수목금토일,현장직업체험형,초 중 고,기자 및 언론 전문가,"10,000원",체험처,전국,0,인문·사회과학 연구직
대추따기 진로체험,건천자드락체험마을,2025-10-01 ~ 2025-11-21,월화수목금,현장직업체험형,초,과수작물 재배원,"25,000원",체험처,전국,1,자연·생명과학 연구직
실버버튼 유튜버와 함께하는 디지털 리터러시 체험,햇살 피디 스튜디오,2025-09-05 ~ 2025-12-31,월화수목금,직업실무체험형,초 중,뉴미디어,"15,000원",학교,전국,11,예술·디자인·방송직
제천국제한방천연물산업엑스포 체험학습,제천국제한방천연물산업엑스포조직위원회,2025-09-20 ~ 2025-10-19,월화수목금토일,현장견학형,초 중 고,기타,무료,체험처,전국,15,기타 서비스직
전통 서각체험,운봉서각원,2025-09-01 ~ 2027-12-31,월화수목금,현장견학형,초 중,화가 및 조각가,"40,000원",체험처,전국,15,기타 서비스직
증강현실(AR) 피구 [HADO],하도필드레전드,2025-09-01 ~ 2026-09-01,월화수목금,현장견학형,초 중 고,사회/생활체육,"30,000원",체험처,전국,15,기타 서비스직
친환경 전기 자동차 만들어보기,여윤(보은점),2025-09-01 ~ 2025-12-31,월화수목금,직업실무체험형,초 중,전기공학 기술자 및 연구원,"25,000원",학교,전국,15,기타 서비스직
인삼꽃다발,리리플라워,2025-09-11 ~ 2026-12-31,월화수목금,현장직업체험형,초 중,조경원,"10,000원",학교,전국,15,기타 서비스직
[노작체험] 샤인머스캣 수확 체험(9월한정체험),쌈지촌마을/신현쌈지돈마을,2025-09-01 ~ 2025-09-30,월화수목금,현장직업체험형,초 중 고,과수작물 재배원,"15,000원",체험처,전국,1,자연·생명과학 연구직
[화이통협동조합] 영양 만점 꼬마김밥 만들기,영월군농업기술센터,2025-09-01 ~ 2025-12-31,월화수목금,현장직업체험형,초 중 고,작물재배 종사자,"20,000원",체험처,전국,15,기타 서비스직
환경지킴이-업사이클링지도사(폐자개를 활용한 자개소품만들기),파티오실용아트랩,2025-09-01 ~ 2027-12-31,월화수목금토,직업실무체험형,초 중 고,제품 디자이너,"25,000원",학교,전국,15,기타 서비스직
"K-medicine 한의사, 한의원 체험",이병삼경희한의원,2025-09-24,,현장직업체험형,초 중 고,한의사,"10,000원",체험처,전국,15,기타 서비스직
천연염색 손수건or 스카프,회포마을 (구:참샘골 호박농원),2025-09-01 ~ 2030-12-31,월화수목금,현장직업체험형,초 중 고,기타,"17,000원",체험처,전국,15,기타 서비스직
호박크림마카롱,회포마을 (구:참샘골 호박농원),2025-09-01 ~ 2030-12-31,월화수목금,현장직업체험형,초 중 고,기타,"15,000원",체험처,전국,15,기타 서비스직
해초김밥 만들기,심재경향토치유음식연구소,2025-09-03 ~ 2026-12-31,월화수목금,현장직업체험형,초 중 고,한식 조리사,"25,000원",체험처,전국,15,기타 서비스직
전복해초피자 만들기,심재경향토치유음식연구소,2025-09-03 ~ 2026-12-31,월화수목금,현장직업체험형,초 중 고,주방장 및 요리 연구가,"30,000원",체험처,전국,15,기타 서비스직
아두이노 제작 실습 미니 피아노 만들기,여윤(보은점),2025-09-01 ~ 2025-12-31,월화수목금,직업실무체험형,초 중 고,기타,"25,000원",학교,전국,15,기타 서비스직
미니 다육이 화분 만들기,완또 복합문화공간,2025-09-03 ~ 2026-12-31,월화수목금토일,현장직업체험형,초 중 고,기타,"30,000원",체험처,전국,15,기타 서비스직
공기정화식물 만들기,완또 복합문화공간,2025-09-03 ~ 2026-12-31,월화수목금토일,현장직업체험형,초 중 고,기타,"30,000원",체험처,전국,15,기타 서비스직
아로마향 목걸이 만들기,완또 복합문화공간,2025-09-03 ~ 2026-12-31,월화수목금토일,현장직업체험형,초 중 고,제품 디자이너,"30,000원",체험처,전국,15,기타 서비스직
캔들 만들기,완또 복합문화공간,2025-09-03 ~ 2026-12-31,월화수목금토일,현장직업체험형,초 중 고,화가 및 조각가,"30,000원",체험처,전국,15,기타 서비스직
비누 만들기,완또 복합문화공간,2025-09-03 ~ 2026-12-31,월화수목금토일,현장직업체험형,초 중 고,기타 시각 및 공연 예술가,"30,000원",체험처,전국,11,예술·디자인·방송직
[2025-하반기] 비전리더십캠프 We&I 리더십스피치,거제시진로교육지원센터,2025-09-09 ~ 2025-12-20,월화수목금,캠프형,초 중,기타,무료,체험처,전국,15,기타 서비스직
학교방문진로체험 ★ 4차산업 3D펜 전문가,웹에이전시 애드인소프트(애드인메이커),2025-09-04 ~ 2026-12-31,월화수목금,직업실무체험형,초 중 고,응용 소프트웨어 개발자,"17,000원",체험처,전국,15,기타 서비스직
아두이노 제작 실습 미니 피아노 만들기,여윤(괴산증평점),2025-09-01 ~ 2030-12-31,월화수목금,직업실무체험형,초 중 고,기타,"25,000원",학교,전국,15,기타 서비스직
친환경 전기 자동차 만들어보기,여윤(괴산증평점),2025-09-01 ~ 2030-12-31,월화수목금,직업실무체험형,초 중,기타,"25,000원",학교,전국,15,기타 서비스직
학교방문진로체험 ★ 4차산업 VR콘텐츠전문가,웹에이전시 애드인소프트(애드인메이커),2025-09-04 ~ 2026-09-03,월화수목금,직업실무체험형,초 중 고,기타 컴퓨터 전문가 및 소프트웨어 전문가,"15,000원",체험처,전국,2,정보통신 연구개발직 및 공학기술직
푸딩 만들기,완또 복합문화공간,2025-09-03 ~ 2026-12-31,월화수목금토일,현장직업체험형,초 중 고,기타 조리사,"30,000원",체험처,전국,15,기타 서비스직
(직업체험)요리체험-쉐프전문가되기1일차,한국외식제과직업전문학교,2025-09-01 ~ 2026-12-31,월화수목금토,현장직업체험형,초 중 고,주방장 및 요리 연구가,"15,000원",체험처,전국,15,기타 서비스직
[직업체험] 제과-컵케익 만들기,한국외식제과직업전문학교,2025-09-01 ~ 2026-12-31,월화수목금토,직업실무체험형,초 중 고,제과·제빵원 및 떡 제조원,"15,000원",체험처,전국,15,기타 서비스직
메타버스와 인공지능 기반 생성형 AI (Chat GPT) 개발자 진로체험,웹에이전시 애드인소프트(애드인메이커),2025-09-04 ~ 2026-12-31,월화수목금토일,직업실무체험형,초 중 고,응용 소프트웨어 개발자,"6,000원",체험처,전국,15,기타 서비스직
"3D프린터로 제작한, SW/AI 드론 모형 신 제품 제작!",웹에이전시 애드인소프트(애드인메이커),2025-09-04 ~ 2026-12-31,월화수목금토일,직업실무체험형,초 중 고,컴퓨터 하드웨어 기술자 및 연구원,"19,000원",체험처,전국,15,기타 서비스직
AI 인공지능코딩,웹에이전시 애드인소프트(애드인메이커),2025-09-04 ~ 2026-12-31,월화수목금토일,직업실무체험형,초 중 고,응용 소프트웨어 개발자,"16,000원",체험처,전국,15,기타 서비스직
예술 나만의 심리찾기~,히엘아트,2025-09-05 ~ 2025-12-31,월화수목금,직업실무체험형,초 중,기타,"35,000원",학교,전국,15,기타 서비스직
"3D프린팅 전문가 (진로직업체험) - (교통대IDF 소담스퀘어 시설 공간 대여 하여, 3D강사 전문강사 2인 보유, 3D프린팅 장소 시설 제휴 대여 수업 진행)",웹에이전시 애드인소프트(애드인메이커),2025-09-04 ~ 2026-12-31,월화수목금토일,직업실무체험형,초 중 고,기타 컴퓨터 전문가 및 소프트웨어 전문가,"70,000원",체험처,전국,2,정보통신 연구개발직 및 공학기술직
파티시에 체험,완또 복합문화공간,2025-09-03 ~ 2026-12-31,월화수목금토일,현장직업체험형,초 중 고,기타 조리사,"30,000원",체험처,전국,15,기타 서비스직
[공예분야] 열쇠고리 달린 카드지갑만들기 체험,일로가죽공방,2025-09-03 ~ 2025-12-31,월화수목금,현장직업체험형,중 고,제품 디자이너,"28,000원",체험처,전국,15,기타 서비스직
커피산업의 다양한 직업소개 (학교로 찾아가는 교육),커피제작소1998(포엠프로덕션),2025-09-03 ~ 2025-12-31,월화수목금,직업실무체험형,초 중 고,음료 조리사,"20,000원",체험처,전국,15,기타 서비스직
다양한 공예 체험 (과목 중 고르기),블루몬트페인팅,2025-09-01 ~ 2025-12-31,월화수목금토일,직업실무체험형,초 중 고,예술·디자인·방송직,"15,000원",체험처,전국,15,기타 서비스직
환경을 위한다는 착각,KOICA개발협력전시관,2025-09-01 ~ 2026-02-28,월화수목금토,현장견학형,중 고,새마을/국제개발협력,무료,체험처,전국,15,기타 서비스직
(초등) 만능 열매의 두 얼굴,KOICA개발협력전시관,2025-09-01 ~ 2026-02-28,월화수목금토,강연형,초,환경생태,무료,체험처,전국,15,기타 서비스직
꽃바구니 만들기,쁘띠플루,2025-09-01 ~ 2027-12-31,월화수목금,직업실무체험형,중 고,시각 디자이너,"25,000원",체험처,전국,15,기타 서비스직
북어 장아찌 만들기 체험,선씨종가,2025-03-01 ~ 2025-12-31,월화수목금,직업실무체험형,초 중 고,주방장 및 조리사,"20,000원",체험처,전국,15,기타 서비스직
퍼스널컬러 - 이미지메이킹,꿈드림에듀,2025-09-01 ~ 2035-09-30,월화수목금토일,직업실무체험형,초 중,메이크업 아티스트 및 분장사,"12,000원",체험처,전국,11,예술·디자인·방송직
와그라운드 캠핑스쿨,와그라운드캠프,2025-09-08 ~ 2025-10-31,월화수목금,현장직업체험형,초 중 고,"스포츠강사, 레크리에이션강사 및 기타 관련 전문가","20,000원",체험처,전국,15,기타 서비스직
창직창업교육-4시간,갈두천,2025-09-01 ~ 2030-09-30,월화수목금토,직업실무체험형,초 중,창업/벤처기업,"27,000원",학교,전국,15,기타 서비스직
(괴증진로센터)손으로 만들어가는 나무 세상,가온숲(구.숲환경교육센터),2025-03-01 ~ 2027-12-31,월화수목금,직업실무체험형,초 중 고,인쇄·목재·공예 및 기타 설치·정비·생산직,"25,000원",체험처,전국,15,기타 서비스직
창직창업교육-2시간,갈두천,2025-09-01 ~ 2030-09-28,월화수목금토,직업실무체험형,초 중,창업/벤처기업,"25,000원",학교,전국,15,기타 서비스직
"유기농 차와 제철 식재료로 만든 티푸드 맡김차림(차, 다과, 다구 관련 직업에 대해 알아보기)",회수다옥,2025-09-01 ~ 2026-03-01,월화수목금토일,대화형,고,기타,"45,000원",체험처,전국,15,기타 서비스직
[2025-하반기]신산업기술활용 메이커교육(세계시민&AI아는아이&AI.One),거제시진로교육지원센터,2025-09-05 ~ 2025-12-20,월화수목금,캠프형,초 중 고,기타,무료,체험처,전국,15,기타 서비스직
[2025-하반기]기후위기대응 '에코&그린&블루리더',거제시진로교육지원센터,2025-09-05 ~ 2025-12-20,월화수목금,캠프형,초 중 고,기타,무료,체험처,전국,15,기타 서비스직
[2025-하반기] 고3학년전환기캠프 19.9세,거제시진로교육지원센터,2025-09-08 ~ 2025-12-20,월화수목금,캠프형,고,기타,무료,체험처,전국,15,기타 서비스직
[2025-하반기] 학년전환기캠프 스쿨UP드림UP,거제시진로교육지원센터,2025-09-08 ~ 2025-12-20,월화수목금,캠프형,초 중,기타,무료,체험처,전국,15,기타 서비스직
[2025-하반기] 고교학점제캠프 하이스쿨리더,거제시진로교육지원센터,2025-09-08 ~ 2025-12-20,월화수목금,캠프형,고,기타,무료,체험처,전국,15,기타 서비스직
[2025-하반기] 진로탄력성캠프 탄탄드림,거제시진로교육지원센터,2025-09-08 ~ 2025-12-20,월화수목금,캠프형,중 고,기타,무료,체험처,전국,15,기타 서비스직
[2025-하반기] 자기주도학습캠프 공부JOB고 꿈JOB끼,거제시진로교육지원센터,2025-09-08 ~ 2025-12-20,월화수목금,캠프형,중 고,기타,무료,체험처,전국,15,기타 서비스직
[2025-하반기] 창직진로캠프 오픈퓨처 2050,거제시진로교육지원센터,2025-09-08 ~ 2025-12-20,월화수목금,캠프형,초 중,기타,무료,체험처,전국,15,기타 서비스직
[2025-하반기] 창업진로캠프 창업챌린저/L.P.G,거제시진로교육지원센터,2025-09-08 ~ 2025-12-20,월화수목금,캠프형,중 고,기타,무료,체험처,전국,15,기타 서비스직
[2025-하반기] 전문직업인 특강,거제시진로교육지원센터,2025-09-01 ~ 2025-12-20,월화수목금,직업실무체험형,초 중 고,기타,무료,체험처,전국,15,기타 서비스직
[2025-하반기] 진로비전캠프 고잉드림,거제시진로교육지원센터,2025-09-08 ~ 2025-12-20,월화수목금,캠프형,초 중,기타,무료,체험처,전국,15,기타 서비스직
2025 서산진로박람회 - 은공예 체험,꽃은공방,2025-09-30 ~ 2025-11-30,월화수목금,학과체험형,중,공예,무료,학교,전국,11,예술·디자인·방송직
유리키링 만들기,유리공예아저씨,2025-10-01,,현장직업체험형,중,기타,"10,000원",체험처,전국,15,기타 서비스직
업싸이클링 디자이너와 함께하는 한지부채 만들기,층층공방(용인/용인센터 /0522),2025-09-01 ~ 2026-12-31,월화수목금,직업실무체험형,초 중 고,제품 디자이너,"15,000원",학교,전국,15,기타 서비스직
업싸이클링 디자이너와 함께하는 나무옷걸이 만들기,층층공방(용인/용인센터 /0522),2025-09-01 ~ 2026-12-31,월화수목금,직업실무체험형,초 중 고,제품 디자이너,"15,000원",학교,전국,15,기타 서비스직
목공예 기술자와 함께하는 친환경 목공 체험 – “나무로 만드는 새집”,층층공방(용인/용인센터 /0522),2025-09-01 ~ 2025-12-31,월화수목금,직업실무체험형,초 중 고,기타 인쇄·목재 등 공학 기술자 및 시험원,"18,000원",학교,전국,4,제조 연구개발직 및 공학기술직
"인공지능 (AI) 체험 기반, 로봇공학 기술자 진로직업체험",웹에이전시 애드인소프트(애드인메이커),2025-08-30 ~ 2026-08-29,월화수목금토일,직업실무체험형,초 중 고,로봇공학 기술자 및 연구원,"26,000원",체험처,전국,2,정보통신 연구개발직 및 공학기술직
"스마트팜 ICT 분야 직업군, (진로직업체험) 신직업 체험",웹에이전시 애드인소프트(애드인메이커),2025-08-30 ~ 2026-08-29,월화수목금토일,직업실무체험형,초 중 고,농림어업 단순 종사원,"10,000원",체험처,전국,1,자연·생명과학 연구직
2025년 학교연계프로그램 [또바기-대산중학교],서산문화복지센터,2025-09-12,,현장직업체험형,중,기타,무료,학교,전국,15,기타 서비스직
2025년 학교연계프로그램 [또바기-차동초등학교],서산문화복지센터,2025-09-17,,현장직업체험형,초,기타,무료,학교,전국,15,기타 서비스직
국가유산수리기술자와 함께하는 모사 체험,세종국가유산미술협회,2025-09-15 ~ 2025-12-31,월화목금,직업실무체험형,중 고,학예사 및 문화재 보존원,"25,000원",체험처,전국,15,기타 서비스직
업사이클레진,공드리공작소,2025-09-01 ~ 2026-12-31,월화수목금토일,현장직업체험형,초 중 고,기타,"30,000원",학교,전국,15,기타 서비스직
"[학교,체험처]직업체험-테라리움만들기",이소와(ISOWA),2025-08-01 ~ 2035-12-31,월화수목금토일,직업실무체험형,초 중 고,제품 디자이너,"30,000원",학교,전국,15,기타 서비스직
제주바당환경학교,사단법인 아시아기후변화교육센터,2025-08-28 ~ 2027-12-31,월화수목금,현장직업체험형,초 중 고,자연과학 연구원,무료,체험처,전국,15,기타 서비스직
"[학교,체험처]직업체험-화과자만들기",이소와(ISOWA),2025-08-01 ~ 2035-12-31,월화수목금토일,현장직업체험형,중 고,기타 조리사,"30,000원",체험처,전국,15,기타 서비스직
글로벌 요리 탐험- 세계 요리 영셰프 체험교실,김은경기능장요리학원,2025-09-06 ~ 2025-12-31,월화수목금토일,직업실무체험형,초 중 고,주방장 및 요리 연구가,"25,000원",체험처,전국,15,기타 서비스직
라떼아트 체험,대전커피문화식음료학원,2025-09-01 ~ 2025-12-31,월화수목,직업실무체험형,중 고,음료 조리사,"25,000원",체험처,전국,15,기타 서비스직
카페메뉴&디저트,대전커피문화식음료학원,2025-09-01 ~ 2025-12-31,수토,직업실무체험형,초 중 고,음료 조리사,"25,000원",체험처,전국,15,기타 서비스직
디지털 아티스트 되기-아이패드드로잉(굿즈 만들기)체험,위캘리그라피아트협회,2025-09-01 ~ 2026-02-28,월화수목금토일,직업실무체험형,초 중 고,기타 시각 및 공연 예술가,"5,000원",체험처,전국,11,예술·디자인·방송직
'군인' 직업체험 프로그램,해병대 제9여단,2025-08-26 ~ 2027-12-31,월화수목금,현장직업체험형,중 고,군인,무료,체험처,전국,9,군인
댄스,하단댄스플로어523,2025-09-01 ~ 2026-09-01,월화수목금토일,현장직업체험형,초 중 고,무용가 및 안무가,"11,000원",체험처,전국,15,기타 서비스직
태초메주된장담구기체험 장건강프로젝트,지음보자기,2025-09-01 ~ 2027-12-31,월화수목금,직업실무체험형,초 중 고,기타,"25,000원",학교,전국,15,기타 서비스직
캘리 수제도장_꿈을 새기고 미래를 찍다,위캘리그라피아트협회,2025-08-31 ~ 2025-12-31,월화수목금토일,현장직업체험형,초 중 고,시각 디자이너,"15,000원",체험처,전국,15,기타 서비스직
캘리그라피 뱃지만들기,위캘리그라피아트협회,2025-09-01 ~ 2025-12-31,월화수목금토일,직업실무체험형,초 중 고,시각 디자이너,"10,000원",체험처,전국,15,기타 서비스직
공예가 진로체험 - 마크라메 무드등,현암공방,2025-08-01 ~ 2026-02-28,월화수목금토일,직업실무체험형,초 중,실내장식 디자이너,"15,000원",학교,전국,15,기타 서비스직
캘리그라피 문패 만들기,위캘리그라피아트협회,2025-09-01 ~ 2025-12-31,월화수목금토일,직업실무체험형,초 중 고,시각 디자이너,"10,000원",체험처,전국,15,기타 서비스직
캘리그라피 꽃엽서 만들기,위캘리그라피아트협회,2025-09-01 ~ 2025-12-31,월화수목금토일,직업실무체험형,초 중 고,시각 디자이너,"10,000원",체험처,전국,15,기타 서비스직
캘리그라피 머그컵,위캘리그라피아트협회,2025-09-01 ~ 2030-09-01,월화수목금토일,직업실무체험형,초 중 고,제품 디자이너,"10,000원",체험처,전국,15,기타 서비스직
캘리X우드버닝_나의 꿈과 글씨,위캘리그라피아트협회,2025-09-06 ~ 2025-12-31,토일,직업실무체험형,초 중 고,시각 디자이너,"20,000원",체험처,전국,15,기타 서비스직
캘리그라피 부채만들기,위캘리그라피아트협회,2025-09-01 ~ 2025-12-31,월화수목금토일,직업실무체험형,초 중 고,시각 디자이너,"10,000원",체험처,전국,15,기타 서비스직
캘리그라피 양초캘리그라피,위캘리그라피아트협회,2025-09-01 ~ 2026-08-31,월화수목금토일,직업실무체험형,초 중 고,시각 디자이너,"5,000원",체험처,전국,15,기타 서비스직
동전먹는로봇-로봇공학자,꿈드림에듀,2025-08-25 ~ 2035-08-31,월화수목금토일,직업실무체험형,초 중 고,로봇공학 기술자 및 연구원,"14,000원",체험처,전국,2,정보통신 연구개발직 및 공학기술직
양모펠트로 사랑스런 강아지 만들기,깜냥깜냥,2025-09-01 ~ 2025-12-31,월화수목금,현장직업체험형,초 중 고,공예원,"15,000원",체험처,전국,11,예술·디자인·방송직
가죽 카드지갑 만들기,레트리에가죽공방,2025-09-01 ~ 2035-09-30,월화수목금,현장직업체험형,초 중 고,제품 디자이너,"50,000원",체험처,전국,15,기타 서비스직
자기주도학습 프로그램,한국미래진로센터,2025-09-18,,대화형,초,기타,"12,500원",학교,전국,15,기타 서비스직
리더십과 인성 프로그램,한국미래진로센터,2025-09-17,,대화형,초,기타,"12,500원",학교,전국,15,기타 서비스직
웰컴투 박물관 (박물관과 박물관 사람들),제주해양동물박물관,2025-09-01 ~ 2027-08-31,월화목금,현장견학형,초,학예사 및 문화재 보존원,"7,000원",체험처,전국,15,기타 서비스직
나만의 비누만들기,자연의향기,2025-08-01 ~ 2030-08-31,월금,학과체험형,초 중,기타자연과학,"30,000원",체험처,전국,1,자연·생명과학 연구직
수박카빙데코레이션 과정,대전커피문화식음료학원,2025-09-01 ~ 2025-12-31,토,학과체험형,고,주방장 및 조리사,"100,000원",체험처,전국,15,기타 서비스직
중국차 티소믈리에 체험,아이차,2025-09-01 ~ 2027-09-30,월화목금,현장직업체험형,초 고,중국문화학,"30,000원",체험처,전국,15,기타 서비스직
